Ambas;15;25;ResultC;W;FTS;CS;BTS;TG;GF;GA;1.5;2.5;3.5;W1;FTS1;CS1;BTS1;TG1;GF1;GA1;1.51;2.51;3.51
0;1;0;1;0,57;0,07;0,36;0,64;2,50;1,64;0,86;0,93;0,50;0,14;0,14;0,64;0,36;0,21;1,50;0,57;0,93;0,50;0,14;0,07
1;1;1;0;0,33;0,50;0,17;0,50;2,17;1,00;1,17;0,67;0,50;0,17;0,00;0,20;0,00;0,80;3,60;0,80;2,80;1,00;0,80;0,60
1;1;1;1;0,50;0,25;0,25;0,50;2,25;1,25;1,00;0,75;0,25;0,25;0,20;0,00;0,20;0,80;5,20;2,20;3,00;1,00;0,80;0,80
0;1;0;1;0,40;0,27;0,40;0,47;1,87;1,07;0,80;0,47;0,20;0,13;0,20;0,47;0,27;0,33;1,80;0,67;1,13;0,53;0,33;0,00
0;1;0;1;1,00;0,00;0,40;0,60;2,40;1,80;0,60;0,60;0,60;0,20;0,20;0,60;0,20;0,20;1,60;0,40;1,20;0,60;0,00;0,00
1;1;1;0;0,00;0,29;0,14;0,71;3,71;1,57;2,14;0,86;0,57;0,43;0,14;0,43;0,00;0,57;4,29;1,00;3,29;0,86;0,71;0,57
1;1;0;0;0,46;0,23;0,46;0,31;1,77;0,85;0,92;0,38;0,15;0,08;0,15;0,77;0,54;0,08;0,92;0,31;0,62;0,23;0,08;0,00
1;1;1;1;0,21;0,29;0,21;0,64;2,71;1,36;1,36;0,79;0,50;0,43;0,21;0,36;0,14;0,57;2,00;0,79;1,21;0,64;0,36;0,07
0;1;1;1;0,25;0,25;0,25;0,58;2,08;1,08;1,00;0,83;0,25;0,08;0,33;0,42;0,17;0,50;2,58;1,00;1,58;0,75;0,58;0,25
0;0;0;0;0,60;0,20;0,40;0,40;2,40;1,20;1,20;0,40;0,40;0,20;0,20;0,20;0,40;0,60;2,60;1,40;1,20;0,60;0,40;0,40
0;0;0;0;0,38;0,50;0,38;0,38;1,63;0,88;0,75;0,50;0,38;0,00;0,50;0,00;0,50;0,50;1,63;1,13;0,50;0,62;0,00;0,00
0;1;1;1;0,57;0,29;0,43;0,29;2,00;1,43;0,57;0,57;0,14;0,14;0,00;0,67;0,22;0,33;1,56;0,33;1,22;0,44;0,33;0,00
1;1;1;1;0,50;0,33;0,17;0,50;3,17;1,83;1,33;0,83;0,50;0,50;0,60;0,00;0,20;0,80;3,40;1,60;1,80;0,80;0,80;0,60
1;1;1;1;0,25;0,25;0,00;0,75;2,38;1,00;1,38;0,75;0,50;0,12;0,62;0,25;0,25;0,50;2,13;1,13;1,00;0,75;0,38;0,00
0;0;0;1;0,33;0,53;0,40;0,27;1,53;0,73;0,80;0,40;0,13;0,13;0,47;0,33;0,27;0,47;2,40;1,33;1,07;0,67;0,47;0,13
0;1;1;1;0,36;0,18;0,27;0,64;2,91;1,45;1,45;0,91;0,73;0,36;0,30;0,30;0,20;0,50;2,30;1,00;1,30;0,70;0,40;0,20
1;1;0;0;0,67;0,33;0,50;0,17;2,00;1,17;0,83;0,67;0,33;0,00;0,60;0,20;0,60;0,40;1,60;1,20;0,40;0,40;0,20;0,20
1;1;1;0;0,14;0,14;0,00;0,86;3,71;1,57;2,14;0,86;0,71;0,71;0,57;0,14;0,29;0,57;3,14;1,86;1,29;0,71;0,71;0,57
1;1;1;1;0,50;0,00;0,12;0,88;3,13;1,75;1,38;0,88;0,62;0,25;0,38;0,38;0,38;0,38;1,75;1,00;0,75;0,50;0,12;0,12
0;1;0;1;0,57;0,29;0,43;0,29;2,00;1,14;0,86;0,71;0,29;0,00;0,29;0,14;0,29;0,71;2,43;1,29;1,14;0,71;0,57;0,29
0;0;0;1;0,25;0,12;0,25;0,75;3,50;1,63;1,88;0,88;0,75;0,50;0,38;0,25;0,25;0,50;2,25;1,13;1,13;0,75;0,38;0,12
1;1;1;0;0,00;0,17;0,00;0,83;4,17;1,67;2,50;1,00;0,83;0,67;0,40;0,60;0,20;0,40;2,40;1,20;1,20;0,40;0,40;0,20
1;1;1;0;0,50;0,40;0,70;0,20;1,60;1,10;0,50;0,60;0,20;0,10;0,56;0,00;0,33;0,67;3,33;2,22;1,11;0,78;0,67;0,44
1;1;1;1;0,25;0,00;0,25;0,75;2,00;1,00;1,00;0,75;0,25;0,00;0,00;0,60;0,20;0,40;2,40;0,60;1,80;0,60;0,40;0,40
1;1;1;1;0,36;0,27;0,36;0,55;2,09;1,09;1,00;0,64;0,27;0,18;0,45;0,45;0,36;0,27;2,18;0,91;1,27;0,64;0,36;0,27
1;1;1;1;0,62;0,00;0,38;0,62;3,50;2,50;1,00;0,88;0,62;0,50;0,29;0,29;0,29;0,43;2,57;1,14;1,43;0,86;0,57;0,14
0;0;0;0;0,33;0,33;0,67;0,33;1,33;1,00;0,33;0,50;0,17;0,00;0,50;0,17;0,67;0,33;1,33;0,83;0,50;0,33;0,17;0,00
1;1;0;0;0,31;0,54;0,62;0,15;1,38;0,77;0,62;0,46;0,23;0,00;0,15;0,38;0,23;0,54;1,92;0,77;1,15;0,69;0,23;0,08
0;1;0;0;0,43;0,29;0,43;0,43;2,71;1,43;1,29;0,86;0,29;0,29;0,00;0,71;0,00;0,29;2,29;0,43;1,86;0,86;0,29;0,14
1;1;1;1;0,40;0,20;0,40;0,53;2,47;1,40;1,07;0,73;0,40;0,27;0,07;0,40;0,20;0,60;2,07;0,73;1,33;0,67;0,40;0,20
1;1;0;0;0,29;0,43;0,29;0,43;1,71;0,86;0,86;0,71;0,14;0,00;1,00;0,00;0,67;0,33;2,33;2,00;0,33;0,67;0,50;0,17
0;1;0;1;0,08;0,54;0,23;0,38;1,92;0,77;1,15;0,62;0,23;0,15;0,46;0,00;0,15;0,85;2,85;1,69;1,15;0,92;0,54;0,23
0;0;0;0;0,38;0,44;0,62;0,38;1,56;1,06;0,50;0,44;0,31;0,19;0,20;0,53;0,47;0,27;1,07;0,47;0,60;0,27;0,07;0,00
0;1;1;1;0,53;0,27;0,40;0,53;2,33;1,53;0,80;0,67;0,47;0,20;0,50;0,14;0,43;0,43;2,64;1,64;1,00;0,64;0,43;0,36
0;1;0;1;0,46;0,31;0,46;0,38;2,23;1,08;1,15;0,62;0,54;0,15;0,31;0,38;0,31;0,38;1,69;0,85;0,85;0,46;0,23;0,08
0;0;0;1;0,40;0,20;0,20;0,60;2,80;1,40;1,40;0,80;0,40;0,40;0,40;0,60;0,20;0,20;2,60;1,00;1,60;0,40;0,40;0,20
0;0;0;1;0,50;0,12;0,38;0,62;3,50;2,13;1,38;0,88;0,62;0,50;0,30;0,40;0,20;0,40;2,40;0,90;1,50;0,70;0,40;0,10
1;1;1;0;0,17;0,50;0,00;0,50;2,00;0,67;1,33;0,83;0,17;0,00;0,17;0,17;0,00;0,83;3,67;1,83;1,83;0,83;0,50;0,50
0;1;0;1;0,33;0,33;0,33;0,50;2,00;1,17;0,83;0,67;0,33;0,17;0,17;0,33;0,17;0,67;1,83;0,83;1,00;0,67;0,33;0,00
1;1;1;0;0,33;0,67;0,33;0,33;2,17;1,00;1,17;0,50;0,33;0,17;0,20;0,40;0,00;0,60;2,80;1,00;1,80;0,80;0,60;0,40
0;1;1;1;0,71;0,00;0,57;0,43;3,00;2,43;0,57;1,00;0,71;0,29;0,14;0,29;0,29;0,57;2,14;0,86;1,29;0,86;0,29;0,14
1;1;1;0;0,29;0,14;0,14;0,71;3,00;1,29;1,71;0,71;0,57;0,57;0,57;0,29;0,43;0,43;2,29;1,43;0,86;0,71;0,43;0,14
0;1;1;0;0,57;0,00;0,29;0,71;2,43;1,57;0,86;1,00;0,43;0,00;0,00;0,29;0,00;0,71;3,29;1,14;2,14;0,86;0,86;0,57
0;0;0;1;0,80;0,20;0,60;0,20;2,40;1,60;0,80;0,80;0,60;0,00;0,33;0,33;0,50;0,33;2,83;1,33;1,50;0,67;0,50;0,33
1;1;1;1;0,62;0,15;0,46;0,38;2,31;1,54;0,77;0,69;0,31;0,15;0,23;0,31;0,31;0,62;2,54;1,23;1,31;0,77;0,54;0,23
1;1;1;1;0,00;0,14;0,00;0,86;2,86;0,86;2,00;1,00;0,57;0,14;0,57;0,14;0,29;0,57;2,14;1,29;0,86;0,57;0,43;0,14
0;1;0;1;0,67;0,00;0,50;0,50;2,33;1,67;0,67;0,83;0,33;0,17;0,20;0,00;0,20;0,80;2,60;1,20;1,40;0,80;0,40;0,40
1;1;1;1;0,67;0,00;0,50;0,50;3,33;2,33;1,00;0,67;0,67;0,67;0,17;0,67;0,50;0,17;1,17;0,50;0,67;0,33;0,17;0,00
1;1;1;0;0,20;0,60;0,20;0,20;2,60;0,80;1,80;1,00;0,40;0,20;0,20;0,20;0,00;0,80;2,80;1,20;1,60;0,80;0,60;0,40
0;0;0;1;0,18;0,27;0,18;0,64;2,64;1,18;1,45;0,82;0,36;0,18;0,18;0,64;0,55;0,18;1,18;0,45;0,73;0,36;0,18;0,00
1;1;1;0;0,36;0,14;0,29;0,57;2,64;1,36;1,29;0,79;0,50;0,29;0,07;0,43;0,00;0,57;2,86;1,00;1,86;0,71;0,57;0,36
1;1;1;0;0,38;0,23;0,31;0,54;2,00;1,08;0,92;0,62;0,31;0,15;0,15;0,38;0,08;0,54;2,23;0,92;1,31;0,62;0,31;0,23
0;1;1;1;0,31;0,19;0,31;0,56;2,13;1,25;0,88;0,81;0,31;0,06;0,27;0,47;0,20;0,47;2,40;1,00;1,40;0,67;0,53;0,33
1;1;0;0;1,00;0,00;0,80;0,20;1,80;1,60;0,20;0,40;0,40;0,00;0,67;0,17;0,50;0,33;2,17;1,50;0,67;0,50;0,50;0,17
0;0;0;0;0,14;0,57;0,00;0,43;2,86;0,57;2,29;0,71;0,71;0,29;0,14;0,71;0,29;0,14;1,71;0,57;1,14;0,57;0,29;0,00
0;1;0;0;0,27;0,55;0,64;0,18;1,27;0,73;0,55;0,36;0,27;0,00;0,45;0,18;0,36;0,64;2,45;1,45;1,00;0,82;0,64;0,09
1;1;0;0;0,60;0,00;0,30;0,70;3,20;1,90;1,30;0,90;0,60;0,50;0,20;0,50;0,10;0,50;3,10;0,90;2,20;0,80;0,80;0,30
1;1;0;0;0,00;0,33;0,00;0,67;4,33;0,83;3,50;1,00;1,00;0,67;0,20;0,40;0,60;0,40;2,80;1,60;1,20;0,60;0,60;0,40
1;1;0;0;0,43;0,14;0,00;0,86;3,14;1,71;1,43;1,00;0,57;0,29;0,00;0,83;0,17;0,17;2,00;0,17;1,83;0,50;0,50;0,17
0;0;0;0;0,20;0,40;0,00;0,60;4,60;1,80;2,80;1,00;0,80;0,60;0,33;0,17;0,33;0,67;3,00;1,67;1,33;0,67;0,50;0,50
0;1;0;1;0,88;0,06;0,81;0,19;1,56;1,38;0,19;0,44;0,19;0,00;0,19;0,56;0,25;0,25;1,88;0,44;1,44;0,56;0,38;0,00
1;1;1;0;0,75;0,12;0,50;0,38;3,75;3,00;0,75;0,75;0,75;0,62;0,71;0,00;0,29;0,71;5,43;4,00;1,43;1,00;1,00;0,86
1;1;1;1;0,60;0,20;0,20;0,60;3,00;2,00;1,00;0,80;0,80;0,40;0,40;0,00;0,20;0,80;3,60;1,60;2,00;1,00;0,80;0,40
0;1;1;1;0,75;0,12;0,62;0,25;2,63;2,13;0,50;0,88;0,50;0,25;0,12;0,50;0,38;0,38;2,13;0,75;1,38;0,62;0,38;0,25
0;0;0;0;0,38;0,38;0,62;0,25;2,13;1,38;0,75;0,75;0,50;0,12;0,25;0,50;0,25;0,50;2,00;0,88;1,13;0,50;0,50;0,12
1;1;1;0;0,67;0,17;0,50;0,33;2,25;1,58;0,67;0,67;0,25;0,17;0,17;0,58;0,17;0,58;0,42;2,42;1,50;0,92;0,50;0,42
0;1;1;1;0,62;0,12;0,38;0,56;2,69;1,69;1,00;0,75;0,56;0,25;0,41;0,53;0,47;0,24;1,47;0,82;0,65;0,29;0,24;0,12
1;1;1;1;0,27;0,36;0,18;0,64;2,55;1,18;1,36;0,73;0,64;0,18;0,36;0,45;0,18;0,45;2,55;1,00;1,55;0,73;0,55;0,27
1;1;1;1;0,33;0,22;0,11;0,67;2,33;1,33;1,00;0,67;0,33;0,22;0,33;0,33;0,11;0,67;2,56;1,00;1,56;0,78;0,56;0,22
0;0;0;1;0,44;0,33;0,56;0,22;1,78;0,78;1,00;0,33;0,33;0,11;0,29;0,43;0,14;0,43;3,00;1,57;1,43;0,86;0,57;0,29
0;0;0;1;0,31;0,23;0,31;0,54;2,54;1,31;1,23;0,77;0,38;0,15;0,23;0,23;0,38;0,62;2,15;1,00;1,15;0,62;0,46;0,23
1;1;1;1;0,17;0,67;0,17;0,33;1,83;0,83;1,00;0,33;0,33;0,17;0,38;0,12;0,25;0,62;3,50;1,25;2,25;0,75;0,62;0,38
1;1;0;0;0,33;0,33;0,00;0,67;3,67;1,50;2,17;0,83;0,67;0,33;0,50;0,00;0,17;0,83;3,33;2,00;1,33;1,00;0,67;0,50
1;1;1;0;0,50;0,17;0,17;0,67;3,17;1,50;1,67;1,00;0,67;0,33;0,00;0,29;0,00;0,71;3,57;1,00;2,57;0,86;0,71;0,57
0;0;0;1;0,38;0,38;0,38;0,38;2,38;1,38;1,00;0,62;0,38;0,38;0,25;0,25;0,25;0,50;3,00;1,13;1,88;0,88;0,62;0,25
0;0;0;0;0,14;0,43;0,14;0,57;2,71;1,14;1,57;0,71;0,43;0,43;0,00;0,29;0,00;0,71;2,57;1,00;1,57;0,71;0,43;0,29
1;1;1;0;0,71;0,00;0,29;0,71;4,00;3,00;1,00;1,00;0,86;0,57;0,17;0,50;0,00;0,50;3,83;1,50;2,33;0,83;0,67;0,50
1;1;1;0;0,38;0,23;0,38;0,46;2,08;1,08;1,00;0,62;0,31;0,23;0,38;0,54;0,15;0,38;2,15;0,92;1,23;0,69;0,38;0,08
0;1;0;0;0,00;0,33;0,00;0,67;4,67;1,00;3,67;1,00;1,00;0,83;0,60;0,00;0,60;0,40;3,00;2,20;0,80;0,80;0,60;0,40
1;1;1;1;0,22;0,56;0,33;0,22;2,22;0,56;1,67;0,67;0,44;0,22;0,11;0,44;0,11;0,44;2,22;0,56;1,67;0,67;0,33;0,22
0;1;1;1;0,50;0,00;0,33;0,67;2,92;1,92;1,00;0,83;0,50;0,25;0,23;0,31;0,23;0,62;2,23;1,08;1,15;0,62;0,38;0,23
0;1;1;0;0,50;0,00;0,50;0,50;2,50;1,50;1,00;0,50;0,33;0,33;0,40;0,20;0,40;0,60;3,00;1,60;1,40;0,80;0,40;0,40
1;1;1;0;0,00;0,83;0,00;0,17;1,67;0,17;1,50;0,50;0,17;0,00;0,00;0,67;0,33;0,33;1,83;0,67;1,17;0,50;0,33;0,33
0;1;0;1;0,80;0,13;0,60;0,33;2,07;1,67;0,40;0,60;0,40;0,07;0,12;0,38;0,12;0,56;2,13;0,75;1,38;0,62;0,31;0,12
0;1;0;0;0,33;0,17;0,17;0,83;3,00;1,67;1,33;0,83;0,50;0,33;0,00;0,57;0,14;0,43;1,71;0,57;1,14;0,57;0,14;0,14
1;1;1;1;0,00;0,56;0,00;0,44;2,44;0,67;1,78;0,78;0,44;0,22;0,33;0,17;0,17;0,67;3,83;1,17;2,67;0,83;0,83;0,50
1;1;1;1;0,20;0,20;0,20;0,60;2,40;1,40;1,00;0,80;0,40;0,20;0,67;0,33;0,33;0,33;2,33;1,33;1,00;0,67;0,50;0,17
0;0;0;1;0,33;0,33;0,33;0,50;2,50;1,33;1,17;0,83;0,50;0,17;0,33;0,00;0,33;0,67;3,33;2,17;1,17;1,00;0,50;0,33
0;1;0;0;0,60;0,20;0,47;0,40;2,00;1,40;0,60;0,60;0,33;0,13;0,14;0,43;0,14;0,43;2,93;0,71;2,21;0,71;0,43;0,36
1;1;1;1;0,33;0,17;0,00;0,83;3,17;1,67;1,50;1,00;0,50;0,33;0,67;0,17;0,50;0,50;2,33;1,83;0,50;0,67;0,33;0,33
0;0;0;1;0,33;0,67;0,50;0,17;1,17;0,50;0,67;0,33;0,17;0,00;0,17;0,17;0,33;0,67;2,83;1,17;1,67;0,67;0,67;0,33
1;1;1;1;0,67;0,17;0,17;0,67;2,67;1,67;1,00;0,83;0,67;0,17;0,67;0,17;0,50;0,33;2,00;1,17;0,83;0,50;0,33;0,17
0;1;1;1;0,67;0,00;0,33;0,67;3,78;2,78;1,00;0,89;0,67;0,56;0,38;0,38;0,12;0,50;2,63;1,00;1,63;0,62;0,38;0,12
0;1;0;1;0,71;0,14;0,50;0,50;2,14;1,57;0,57;0,71;0,43;0,14;0,07;0,29;0,14;0,64;2,29;0,86;1,43;0,86;0,36;0,14
0;1;1;1;0,50;0,38;0,38;0,25;1,88;0,88;1,00;0,38;0,25;0,12;0,22;0,44;0,11;0,44;2,44;1,00;1,44;0,56;0,44;0,33
0;1;1;1;0,50;0,25;0,50;0,38;2,13;1,25;0,88;0,62;0,38;0,25;0,12;0,62;0,38;0,25;1,50;0,50;1,00;0,62;0,12;0,00
0;1;1;1;0,25;0,38;0,12;0,62;2,50;1,13;1,38;0,62;0,38;0,25;0,22;0,44;0,11;0,44;3,00;1,11;1,89;0,89;0,56;0,33
0;0;0;0;0,50;0,21;0,29;0,64;2,50;1,43;1,07;0,71;0,43;0,29;0,29;0,43;0,14;0,50;2,64;0,93;1,71;0,79;0,64;0,21
0;1;0;0;0,67;0,00;0,42;0,58;3,00;2,00;1,00;0,75;0,58;0,42;0,38;0,23;0,54;0,38;2,00;1,31;0,69;0,62;0,46;0,08
1;1;1;1;0,50;0,12;0,62;0,38;1,75;1,25;0,50;0,62;0,25;0,00;0,14;0,43;0,29;0,43;1,57;0,57;1,00;0,43;0,29;0,00
1;1;0;0;0,00;0,80;0,20;0,20;2,60;0,20;2,40;0,80;0,60;0,40;0,60;0,40;0,80;0,20;1,40;1,20;0,20;0,60;0,20;0,00
0;0;0;0;0,79;0,14;0,50;0,43;2,64;2,07;0,57;0,86;0,57;0,21;0,33;0,42;0,17;0,50;2,00;0,83;1,17;0,58;0,42;0,08
1;1;1;1;0,00;0,50;0,17;0,50;2,33;0,83;1,50;0,67;0,33;0,17;0,17;0,67;0,33;0,33;1,67;0,67;1,00;0,33;0,33;0,17
0;0;0;0;0,56;0,22;0,56;0,33;2,22;1,44;0,78;0,67;0,44;0,22;0,22;0,44;0,11;0,44;2,44;0,89;1,56;0,78;0,44;0,22
1;1;1;1;0,57;0,00;0,43;0,57;3,00;2,00;1,00;1,00;0,57;0,14;0,40;0,20;0,20;0,60;1,80;1,00;0,80;0,60;0,20;0,00
0;0;0;0;0,33;0,33;0,33;0,50;2,33;1,33;1,00;0,50;0,50;0,50;0,14;0,71;0,29;0,29;1,57;0,57;1,00;0,43;0,29;0,14
1;1;1;0;0,00;0,80;0,20;0,20;1,80;0,20;1,60;0,60;0,40;0,00;0,00;0,60;0,40;0,40;1,40;0,60;0,80;0,40;0,20;0,20
0;1;0;1;0,67;0,33;0,53;0,13;2,00;1,27;0,73;0,47;0,20;0,13;0,20;0,40;0,20;0,53;2,60;1,07;1,53;0,73;0,47;0,27
1;1;1;0;0,00;0,71;0,00;0,29;2,29;0,29;2,00;0,71;0,43;0,14;0,50;0,17;0,17;0,67;3,00;1,67;1,33;1,00;0,50;0,33
1;1;1;0;0,12;0,38;0,12;0,62;3,00;1,00;2,00;0,75;0,62;0,25;0,29;0,00;0,29;0,71;2,57;1,57;1,00;1,00;0,43;0,14
0;1;1;0;0,40;0,20;0,20;0,80;3,00;1,40;1,60;0,80;0,80;0,40;0,33;0,67;0,67;0,33;1,00;0,67;0,33;0,33;0,33;0,00
0;1;0;1;0,40;0,20;0,60;0,40;2,00;1,20;0,80;0,40;0,40;0,40;0,20;0,60;0,20;0,40;3,20;1,00;2,20;0,60;0,60;0,40
0;1;1;1;0,75;0,17;0,58;0,25;2,08;1,42;0,67;0,50;0,42;0,17;0,17;0,58;0,33;0,42;1,50;0,67;0,83;0,42;0,25;0,17
0;1;1;0;0,15;0,46;0,15;0,38;2,15;0,92;1,23;0,62;0,23;0,15;0,31;0,31;0,54;0,46;1,77;1,15;0,62;0,54;0,31;0,15
1;1;1;1;0,57;0,29;0,79;0,21;1,29;1,07;0,21;0,43;0,14;0,00;0,14;0,50;0,14;0,43;1,71;0,57;1,14;0,50;0,14;0,07
0;1;0;0;0,50;0,00;0,33;0,67;2,83;1,67;1,17;0,67;0,67;0,33;0,17;0,67;0,17;0,33;3,00;0,83;2,17;0,67;0,50;0,33
0;0;0;1;0,67;0,11;0,78;0,22;2,00;1,67;0,33;0,67;0,33;0,11;0,33;0,33;0,11;0,67;3,00;1,56;1,44;0,89;0,56;0,44
0;0;0;1;0,75;0,12;0,75;0,25;2,25;2,00;0,25;0,75;0,38;0,12;0,38;0,25;0,25;0,50;2,63;1,13;1,50;0,75;0,50;0,25
0;0;0;0;0,71;0,12;0,35;0,53;2,59;1,71;0,88;0,76;0,47;0,18;0,18;0,59;0,18;0,41;1,94;0,65;1,29;0,59;0,41;0,06
1;1;1;1;0,22;0,56;0,22;0,33;2,11;0,89;1,22;0,56;0,22;0,11;0,20;0,30;0,10;0,60;2,30;0,80;1,50;0,70;0,40;0,10
1;1;1;0;0,33;0,33;0,33;0,50;1,83;0,83;1,00;0,58;0,33;0,08;0,25;0,50;0,50;0,25;1,58;0,67;0,92;0,58;0,17;0,08
0;1;0;1;0,22;0,22;0,22;0,67;2,44;1,11;1,33;0,89;0,67;0,00;0,20;0,50;0,20;0,30;2,50;0,70;1,80;0,70;0,40;0,30
0;1;1;1;0,14;0,29;0,29;0,57;2,14;1,00;1,14;0,57;0,29;0,14;0,29;0,14;0,43;0,57;3,00;1,71;1,29;0,86;0,43;0,29
1;1;1;0;0,33;0,33;0,17;0,50;1,83;0,83;1,00;0,50;0,33;0,00;0,33;0,50;0,33;0,17;1,33;0,50;0,83;0,33;0,00;0,00
1;1;1;0;0,80;0,00;0,40;0,60;3,00;1,80;1,20;0,80;0,80;0,20;0,00;0,50;0,00;0,50;2,33;0,50;1,83;0,67;0,50;0,17
0;1;0;0;0,57;0,29;0,57;0,29;2,29;1,29;1,00;0,57;0,43;0,29;0,29;0,29;0,00;0,71;2,29;1,14;1,14;0,71;0,43;0,14
0;1;1;1;0,33;0,17;0,17;0,67;2,50;1,50;1,00;0,83;0,50;0,17;0,29;0,14;0,14;0,71;2,86;1,29;1,57;0,71;0,57;0,43
0;0;0;1;0,43;0,14;0,43;0,57;2,57;1,57;1,00;0,71;0,43;0,43;0,40;0,20;0,60;0,40;2,60;1,60;1,00;0,60;0,40;0,40
1;1;1;1;0,60;0,00;0,20;0,80;2,80;1,80;1,00;0,80;0,60;0,20;0,40;0,20;0,20;0,60;3,40;1,80;1,60;0,80;0,60;0,40
1;1;1;0;0,71;0,14;0,43;0,57;2,86;2,14;0,71;0,86;0,71;0,14;0,14;0,14;0,00;0,86;3,57;1,29;2,29;0,86;0,86;0,57
1;1;0;0;0,60;0,10;0,40;0,50;3,60;2,50;1,10;0,80;0,80;0,60;0,00;0,33;0,00;0,67;2,67;0,78;1,89;0,89;0,44;0,22
0;1;1;1;0,57;0,29;0,57;0,14;2,00;1,29;0,71;0,71;0,29;0,00;0,17;0,33;0,17;0,50;3,00;1,00;2,00;0,83;0,67;0,33
1;1;1;0;0,36;0,36;0,27;0,55;2,18;1,09;1,09;0,64;0,36;0,09;0,18;0,64;0,09;0,36;2,18;0,64;1,55;0,64;0,45;0,09
0;0;0;0;0,79;0,07;0,64;0,29;3,21;2,79;0,43;0,86;0,64;0,50;0,50;0,60;0,13;0,60;0,40;2,07;1,53;0,53;0,60;0,33
0;1;1;1;0,67;0,17;0,67;0,33;1,83;1,33;0,50;0,67;0,33;0,00;0,17;0,17;0,17;0,67;2,33;1,00;1,33;0,83;0,33;0,17
1;1;0;0;0,29;0,14;0,29;0,57;3,00;1,29;1,71;1,00;0,57;0,29;0,00;0,38;0,00;0,62;3,13;0,75;2,38;0,88;0,62;0,38
1;1;1;1;0,33;0,50;0,33;0,25;1,58;0,75;0,83;0,42;0,17;0,08;0,08;0,42;0,25;0,50;1,67;0,67;1,00;0,50;0,25;0,08
1;1;1;0;0,43;0,29;0,29;0,57;3,00;1,71;1,29;0,71;0,71;0,43;0,29;0,29;0,00;0,71;3,86;1,57;2,29;1,00;0,71;0,57
0;1;1;1;0,86;0,07;0,64;0,36;1,93;1,57;0,36;0,57;0,36;0,07;0,43;0,07;0,14;0,79;2,43;1,29;1,14;0,86;0,50;0,07
1;1;0;0;0,22;0,44;0,56;0,33;1,78;1,00;0,78;0,56;0,33;0,22;0,11;0,44;0,56;0,44;1,67;0,89;0,78;0,56;0,33;0,11
0;0;0;0;0,00;0,67;0,17;0,33;2,33;0,50;1,83;0,67;0,50;0,17;0,00;0,50;0,00;0,50;3,17;1,00;2,17;0,83;0,67;0,50
1;1;1;1;0,33;0,33;0,33;0,67;2,00;1,00;1,00;0,67;0,50;0,17;0,57;0,14;0,43;0,43;2,14;1,43;0,71;0,57;0,43;0,14
1;1;1;0;0,38;0,23;0,23;0,69;2,15;1,15;1,00;0,77;0,46;0,08;0,15;0,54;0,08;0,46;2,31;0,77;1,54;0,69;0,46;0,15
0;0;0;0;0,33;0,50;0,50;0,17;1,50;0,67;0,83;0,50;0,17;0,00;0,17;0,50;0,00;0,50;3,17;1,00;2,17;0,83;0,50;0,33
1;1;0;0;0,33;0,42;0,25;0,42;3,17;1,33;1,83;0,83;0,75;0,33;0,08;0,58;0,08;0,33;2,25;0,50;1,75;0,67;0,42;0,08
0;0;0;0;0,12;0,50;0,12;0,38;3,50;1,00;2,50;1,00;0,62;0,25;0,29;0,00;0,29;0,71;3,14;1,29;1,86;0,71;0,71;0,57
1;1;0;0;0,71;0,29;0,86;0,00;1,29;1,14;0,14;0,29;0,14;0,00;0,14;0,43;0,00;0,57;2,43;0,86;1,57;0,71;0,57;0,14
0;0;0;0;0,43;0,57;0,29;0,29;2,43;1,14;1,29;0,57;0,43;0,29;0,29;0,57;0,14;0,29;2,14;0,86;1,29;0,71;0,14;0,14
1;1;1;0;0,15;0,23;0,31;0,62;2,08;0,92;1,15;0,77;0,31;0,15;0,31;0,46;0,31;0,23;2,00;0,85;1,15;0,62;0,31;0,08
1;1;1;1;0,17;0,25;0,25;0,58;2,00;1,00;1,00;0,75;0,25;0,08;0,27;0,27;0,27;0,55;1,91;0,91;1,00;0,55;0,36;0,09
1;1;1;1;0,57;0,14;0,00;0,86;4,71;2,71;2,00;1,00;0,86;0,71;0,29;0,43;0,14;0,43;6,14;1,86;4,29;1,00;1,00;1,00
1;1;0;0;0,88;0,06;0,75;0,25;1,94;1,69;0,25;0,62;0,25;0,12;0,19;0,44;0,44;0,44;1,50;0,75;0,75;0,50;0,25;0,06
1;1;1;1;0,50;0,50;0,33;0,33;1,83;0,83;1,00;0,50;0,50;0,00;0,17;0,00;0,17;0,83;4,83;2,17;2,67;1,00;1,00;0,67
0;1;0;1;0,25;0,58;0,58;0,17;1,33;0,67;0,67;0,42;0,25;0,00;0,25;0,42;0,17;0,42;3,00;1,17;1,83;0,75;0,42;0,42
0;0;0;1;0,69;0,12;0,50;0,44;2,44;1,63;0,81;0,69;0,50;0,19;0,12;0,50;0,12;0,44;2,06;0,56;1,50;0,62;0,38;0,12
0;0;0;0;0,60;0,20;0,40;0,40;2,00;1,40;0,60;0,60;0,20;0,20;0,29;0,29;0,29;0,43;2,14;0,86;1,29;0,57;0,43;0,14
0;1;0;1;0,43;0,43;0,29;0,57;2,43;1,57;0,86;0,57;0,57;0,43;0,14;0,43;0,29;0,57;1,57;0,71;0,86;0,57;0,29;0,00
0;0;0;0;0,40;0,20;0,40;0,40;3,40;2,20;1,20;0,80;0,60;0,40;0,60;0,00;0,00;1,00;3,40;2,20;1,20;1,00;0,60;0,40
